audio_peak_retention,audio_rmse_ratio,audio_roughness,elapsed_sec,error,family,feature_dim_audio,feature_dim_fused,feature_dim_probe,feature_dim_text,feature_dim_vision,finite_ratio,interval_valid_ratio,mean_active_fraction,mean_audio_observed_ratio,mean_duration_fit,mean_pause_quality,mean_vision_observed_ratio,method,n_samples,probe_accuracy,probe_accuracy_std,probe_component,probe_macro_f1,probe_macro_f1_std,probe_mae,probe_mae_std,probe_pearson,probe_pearson_std,probe_repeat_macro_f1,probe_repeat_pearson,probe_repeats,status,vision_fps,vision_peak_retention,vision_rmse_ratio,vision_roughness
,,,0.98556,,alignment,,1799,1799,,,1.0,1.0,0.42568348385692545,0.9678646281278634,0.7634201878038077,0.5803776410886843,0.931137974168934,uniform,100,0.5,0.03126943839882288,fused,0.4458374349647801,0.036948607441065116,0.5612630915473705,0.01561853245835726,0.31205027741089,0.044594141459500664,"[0.42599067599067597, 0.3991163197952449, 0.46428571428571425, 0.4978367631762584, 0.4224786324786325, 0.44347116285293725, 0.43444615488278315, 0.4854768235605107, 0.3957692307692307, 0.48950287185581304]","[0.22288491469061913, 0.26559701593949864, 0.3238240944185294, 0.2910371588531713, 0.37376614780836104, 0.34789431453745046, 0.32655700029375556, 0.3524904645100496, 0.2972612163212005, 0.3191904467362639]",10,ok,,,,
,,,0.512725,,alignment,,1799,1799,,,1.0,1.0,0.4279959876838522,0.962250351612435,0.9701554284741439,0.5872288443733034,0.926807240621019,length_weighted,100,0.507,0.038887301554906356,fused,0.4541712511172495,0.04404428101931073,0.5628406372134215,0.014553264773311059,0.3093516286261645,0.04273144842348957,"[0.44931216931216933, 0.4041258693107485, 0.4575438596491228, 0.5176762315170865, 0.4503574004852777, 0.442512077294686, 0.43444615488278315, 0.4873572070337569, 0.38138147566719, 0.517000066019674]","[0.22612418833638226, 0.2756231790116245, 0.3079238935402354, 0.2784795465274458, 0.3709444535218779, 0.3426831975856653, 0.3308144096030381, 0.34840988608569684, 0.29037868698274183, 0.32213484506693696]",10,ok,,,,
,,,2.722886,,alignment,,1799,1799,,,1.0,1.0,0.48802068016446215,0.9662045215061142,0.8395948555554585,0.6394482101871458,0.901330106405075,energy_dp_20,100,0.496,0.034058772731852816,fused,0.44451694224881083,0.04145542182451537,0.5669660528218289,0.01472822148875382,0.29719905612385805,0.04652271504104498,"[0.4434894091415831, 0.37233026543950914, 0.44421052631578944, 0.4848695377570757, 0.4404515745692216, 0.4342989854541009, 0.4419753086419753, 0.49037037037037035, 0.39007092198581556, 0.5031025228126677]","[0.21670670144776777, 0.25565000559116285, 0.2991740460030122, 0.25957320927784494, 0.36152703417794363, 0.33259880235611333, 0.3304345947869882, 0.34437253306305904, 0.2649854691062797, 0.3069681654284087]",10,ok,,,,
,,,1.726443,,alignment,,1799,1799,,,1.0,1.0,0.47376437069586763,0.9740058922558923,0.8461361833012621,0.5837596862719621,0.9091323405472973,full_dp_10,100,0.496,0.030623157540948957,fused,0.442210953205341,0.03649167446566284,0.5550955882451525,0.016904943638631275,0.31991053294438015,0.04777816988436711,"[0.4092353821401649, 0.3892932869914967, 0.46469135802469136, 0.4570133383469641, 0.4693910567527341, 0.43525099023438035, 0.4280259527183235, 0.4780246913580246, 0.3951995892696701, 0.49598388621696055]","[0.229563006549389, 0.27718504926461984, 0.3221876548783948, 0.2926399184557998, 0.3878830906321652, 0.34533620371489926, 0.3580420277158296, 0.36806824242607555, 0.29275800622710574, 0.32544212957952307]",10,ok,,,,
,,,2.90549,,alignment,,1799,1799,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,full_dp_20,100,0.499,0.02806737924669452,fused,0.4465180916346636,0.03984516850282287,0.5628351096257235,0.014494248478838208,0.3062824443684578,0.047348328328423325,"[0.4103565421572382, 0.3681181491873519, 0.4575438596491228, 0.5018801115532855, 0.4681019074296386, 0.4494256575415996, 0.4390183746454556, 0.47129325490795204, 0.41448579431772714, 0.48495726495726493]","[0.21816667068192977, 0.26303038923090627, 0.3109451491996649, 0.28058216336943076, 0.3772304435543846, 0.3424549374459308, 0.33543164481013577, 0.34873176617848467, 0.2770087078551208, 0.30924257135859007]",10,ok,,,,
,,,8.539445,,alignment,,1799,1799,,,1.0,1.0,0.4815663038702009,0.9717824981160678,0.8534214829191029,0.7277474750963572,0.9061791460057131,full_dp_40,100,0.506,0.03470510689285433,fused,0.45115712784402434,0.04286216071606092,0.561426804121281,0.01635688939386431,0.3116095989251403,0.048251928619249845,"[0.4329683388506918, 0.3628120911657371, 0.46439909297052157, 0.4863425103026951, 0.49415769544063587, 0.45674033269941194, 0.445168903585554, 0.4989995998399359, 0.4013922585351157, 0.4685904550499445]","[0.2192659805362383, 0.2689831531940417, 0.31264339460405055, 0.27945897213289006, 0.37176798140472184, 0.3504187508542354, 0.3504304433369651, 0.35714735054458896, 0.28400806077672786, 0.3219719018669436]",10,ok,,,,
1.0,0.0,0.5600201246204033,0.374033,,smoothing,,1799,1799,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,sigma_0p0,100,0.501,0.030713731999438523,fused,0.4462781892945024,0.04472965292607648,0.5634966678118263,0.014309117289022632,0.3072758499015898,0.04708312639854723,"[0.40885131387125817, 0.3681181491873519, 0.46428571428571425, 0.5018801115532855, 0.47442042163400017, 0.41739032707257434, 0.44099149093599704, 0.4833390666208004, 0.4070694416380413, 0.496435856146001]","[0.21868813177045032, 0.26565271568862864, 0.31027734740609436, 0.279741775819168, 0.37857434461368616, 0.3453725920288434, 0.3341506920078188, 0.3490267502390184, 0.2827368868664588, 0.3085372625757314]",10,ok,,1.0,0.0,0.9609769759206873
0.9862297932416492,0.018942350511853688,0.4893748325385762,0.682457,,smoothing,,1799,1799,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,sigma_0p5,100,0.497,0.0316403399335581,fused,0.4424976454378397,0.04413845009787613,0.5631717176812385,0.014352061151300442,0.3070001960842236,0.04716893207786305,"[0.40885131387125817, 0.3681181491873519, 0.46439909297052157, 0.5018801115532855, 0.4681019074296386, 0.41836183618361833, 0.42735042735042733, 0.47129325490795204, 0.4008803521408564, 0.49574000878348706]","[0.2187080003742716, 0.26469661688994417, 0.31069735385639546, 0.28024921087285115, 0.37826320614028175, 0.3439787896221178, 0.3348647741675811, 0.3490423994904837, 0.2802615876923442, 0.309240021735964]",10,ok,,0.9856372979048369,0.015341765141792812,0.7517079447324291
0.972760869159337,0.04241658664496697,0.41408433753271434,0.680554,,smoothing,,1799,1799,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,sigma_0p75,100,0.499,0.02806737924669452,fused,0.4465180916346636,0.03984516850282287,0.5628351096257235,0.014494248478838208,0.3062824443684578,0.047348328328423325,"[0.4103565421572382, 0.3681181491873519, 0.4575438596491228, 0.5018801115532855, 0.4681019074296386, 0.4494256575415996, 0.4390183746454556, 0.47129325490795204, 0.41448579431772714, 0.48495726495726493]","[0.21816667068192977, 0.26303038923090627, 0.3109451491996649, 0.28058216336943076, 0.3772304435543846, 0.3424549374459308, 0.33543164481013577, 0.34873176617848467, 0.2770087078551208, 0.30924257135859007]",10,ok,,0.9710887145891234,0.033606549007777466,0.48973585564762456
0.9647292787171762,0.05738545679444385,0.38039448691978256,0.687047,,smoothing,,1799,1799,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,sigma_1p0,100,0.503,0.030930028559098793,fused,0.4491820084088934,0.04091398483042699,0.5627320800687606,0.014592313929509724,0.3054457405856583,0.04756593302155938,"[0.4156456385504213, 0.3681181491873519, 0.46439909297052157, 0.5085330070132502, 0.4533333333333333, 0.47203617420565586, 0.4390183746454556, 0.47129325490795204, 0.41448579431772714, 0.48495726495726493]","[0.21743209820532478, 0.26123634765625514, 0.3109569159483261, 0.2801191774003433, 0.3761331771628953, 0.3412384588779082, 0.3354323844584982, 0.3486036767564053, 0.27477299056081117, 0.30853217882981565]",10,ok,,0.9624128891082026,0.04344263539032496,0.37351812255556716
