audio_peak_retention,audio_rmse_ratio,audio_roughness,elapsed_sec,error,family,feature_dim_audio,feature_dim_fused,feature_dim_text,feature_dim_vision,finite_ratio,interval_valid_ratio,mean_active_fraction,mean_audio_observed_ratio,mean_duration_fit,mean_pause_quality,mean_vision_observed_ratio,method,n_samples,probe_accuracy,probe_macro_f1,probe_mae,probe_pearson,status,vision_fps,vision_peak_retention,vision_rmse_ratio,vision_roughness
,,,1.463533,,alignment,,1799,,,1.0,1.0,0.42568348385692545,0.9678646281278634,0.7634201878038077,0.5803776410886843,0.931137974168934,uniform,100,0.5,0.42599067599067597,0.6008900623032267,0.22288491469061913,ok,,,,
,,,0.65997,,alignment,,1799,,,1.0,1.0,0.4279959876838522,0.962250351612435,0.9701554284741439,0.5872288443733034,0.926807240621019,length_weighted,100,0.52,0.44931216931216933,0.600115047834397,0.22612418833638226,ok,,,,
,,,2.621051,,alignment,,1799,,,1.0,1.0,0.48802068016446215,0.9662045215061142,0.8395948555554585,0.6394482101871458,0.901330106405075,energy_dp_20,100,0.51,0.4434894091415831,0.6012845555958491,0.21670670144776777,ok,,,,
,,,1.650295,,alignment,,1799,,,1.0,1.0,0.47376437069586763,0.9740058922558923,0.8461361833012621,0.5837596862719621,0.9091323405472973,full_dp_10,100,0.49,0.4092353821401649,0.5959425640583771,0.229563006549389,ok,,,,
,,,2.783284,,alignment,,1799,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,full_dp_20,100,0.49,0.4103565421572382,0.598965090765596,0.21816667068192977,ok,,,,
,,,8.26792,,alignment,,1799,,,1.0,1.0,0.4815663038702009,0.9717824981160678,0.8534214829191029,0.7277474750963572,0.9061791460057131,full_dp_40,100,0.51,0.4329683388506918,0.6011144610586168,0.2192659805362383,ok,,,,
1.0,0.0,0.5600201246204033,0.370915,,smoothing,,1799,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,sigma_0p0,100,0.49,0.40885131387125817,0.5997004830142609,0.21868813177045032,ok,,1.0,0.0,0.9609769759206873
0.9862297932416492,0.018942350511853688,0.4893748325385762,0.63614,,smoothing,,1799,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,sigma_0p5,100,0.49,0.40885131387125817,0.5992539922561074,0.2187080003742716,ok,,0.9856372979048369,0.015341765141792812,0.7517079447324291
0.972760869159337,0.04241658664496697,0.41408433753271434,0.63612,,smoothing,,1799,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,sigma_0p75,100,0.49,0.4103565421572382,0.598965090765596,0.21816667068192977,ok,,0.9710887145891234,0.033606549007777466,0.48973585564762456
0.9647292787171762,0.05738545679444385,0.38039448691978256,0.638638,,smoothing,,1799,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,sigma_1p0,100,0.5,0.4156456385504213,0.5988229642211267,0.21743209820532478,ok,,0.9624128891082026,0.04344263539032496,0.37351812255556716
