sample_id,video_id,clip_id,word_count,text_dim,audio_frames,audio_valid_frames,vision_samples,vision_valid_samples,audio_observed_word_ratio,vision_observed_word_ratio,alignment_mean_confidence,alignment_low_confidence_words,nan_count,inf_count,status
-3g5yACwYnA$_$13,-3g5yACwYnA,13,15,768,538,175,28,28,1.0,0.9333333333333333,0.7455129027366638,0,0,0,ok
-3g5yACwYnA$_$3,-3g5yACwYnA,3,29,768,1431,645,72,72,1.0,1.0,0.7231878638267517,0,0,0,ok
-3g5yACwYnA$_$2,-3g5yACwYnA,2,14,768,921,493,47,47,1.0,1.0,0.7391787171363831,0,0,0,ok
-3g5yACwYnA$_$9,-3g5yACwYnA,9,21,768,868,374,44,44,1.0,1.0,0.7297875285148621,0,0,0,ok
-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,18,768,777,606,40,40,1.0,1.0,0.7118693590164185,0,0,0,ok
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,2,7,768,390,101,20,17,1.0,1.0,0.7201444506645203,0,0,0,ok
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,5,9,768,552,289,28,9,1.0,0.4444444444444444,0.7696290612220764,0,0,0,ok
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,6,7,768,324,110,17,10,1.0,0.8571428571428571,0.8132791519165039,0,0,0,ok
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,9,22,768,762,550,39,28,1.0,0.8181818181818182,0.7295240759849548,0,0,0,ok
-NFrJFQijFE$_$1,-NFrJFQijFE,1,16,768,564,285,29,0,1.0,0.0,0.7054808139801025,0,0,0,ok
-NFrJFQijFE$_$2,-NFrJFQijFE,2,18,768,668,321,34,17,1.0,0.5,0.675899088382721,0,0,0,ok
-THoVjtIkeU$_$12,-THoVjtIkeU,12,39,768,1479,831,75,74,1.0,1.0,0.7199738621711731,0,0,0,ok
-THoVjtIkeU$_$2,-THoVjtIkeU,2,10,768,421,215,22,20,1.0,1.0,0.7482818365097046,0,0,0,ok
-THoVjtIkeU$_$6,-THoVjtIkeU,6,30,768,796,483,41,37,1.0,0.9,0.7172694802284241,0,0,0,ok
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,27,768,1025,630,52,52,1.0,1.0,0.7310999631881714,0,0,0,ok
-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,9,768,356,229,19,19,1.0,1.0,0.7117555737495422,0,0,0,ok
-UuX1xuaiiE$_$3,-UuX1xuaiiE,3,9,768,402,230,21,21,1.0,1.0,0.742430567741394,0,0,0,ok
