run_id,architecture,seed,epochs_run,best_epoch,total_seconds,peak_gpu_bytes,trainable_params,non_encoder_params
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,2,0,2.762,72970752,15492,15492
smoke_M1_seed42,bigru_binary_mask_gate_time_pool,42,2,0,2.31,175055872,134468,134468
p0_B0_seed42,training_prior,42,0,-1,0.0,0,0,0
p0_B2_seed42,three_modality_masked_mean_concat_mlp,42,14,8,29.907,153563136,15492,15492
p0_M1_seed42,bigru_binary_mask_gate_time_pool,42,9,3,23.908,232865280,134468,134468
p0_M1_CEMSE_seed42,bigru_binary_mask_gate_time_pool,42,9,3,24.735,232865280,134468,134468
p0_M1_cleanonly_seed42,bigru_binary_mask_gate_time_pool,42,9,3,13.934,232391680,134468,134468
s3_B1_seed42,tinybert_masked_mean_linear_dual_head,42,23,17,45.206,153920000,8516,8516
s3_B3_seed42,bigru_content_gate_time_pool,42,9,3,24.119,234100736,133316,133316
s3_M2_seed42,bigru_domain_safe_gap_structure_gate,42,9,3,55.412,239030272,143300,143300
s3_M3_seed42,M2_plus_local_cross_time_attention,42,10,4,59.867,240886784,209604,209604
s4_B1_O2lr0.01_seed42,tinybert_masked_mean_linear_dual_head,42,22,16,49.254,153884160,8516,8516
s4_B1_O2lr0.03_seed42,tinybert_masked_mean_linear_dual_head,42,9,3,20.671,153884160,8516,8516
s4_B1_O3rho0.02_seed42,tinybert_masked_mean_linear_dual_head,42,23,17,68.813,153859072,8516,8516
s4_B1_O3rho0.05_seed42,tinybert_masked_mean_linear_dual_head,42,23,17,56.003,153859072,8516,8516
s4_B1_O4_seed42,tinybert_masked_mean_linear_dual_head,42,23,17,46.422,154051072,8516,8516
s4_B3_O2lr0.01_seed42,bigru_content_gate_time_pool,42,14,8,40.136,233564160,133316,133316
s4_B3_O2lr0.03_seed42,bigru_content_gate_time_pool,42,9,3,24.642,233564160,133316,133316
s4_B3_O3rho0.02_seed42,bigru_content_gate_time_pool,42,14,8,63.772,233042432,133316,133316
s4_B3_O3rho0.05_seed42,bigru_content_gate_time_pool,42,14,8,59.463,233042432,133316,133316
s5_B3_L1w0.5_seed42,bigru_content_gate_time_pool,42,14,8,63.649,232018432,133316,133316
s5_B3_L1w2_seed42,bigru_content_gate_time_pool,42,14,8,57.573,232018432,133316,133316
s5_B3_L2_seed42,bigru_content_gate_time_pool,42,14,8,58.078,232018944,133316,133316
s5_B3_L3_seed42,bigru_content_gate_time_pool,42,14,8,60.346,232018432,133316,133316
s5_B3_EMA_seed42,bigru_content_gate_time_pool,42,14,8,57.934,249913344,133316,133316
s6_B3_loss_seed43,bigru_content_gate_time_pool,43,14,8,59.018,232018944,133316,133316
s6_B3_loss_seed44,bigru_content_gate_time_pool,44,13,7,54.393,232018944,133316,133316
s6_B3_optimizer_seed43,bigru_content_gate_time_pool,43,14,8,58.824,232018432,133316,133316
s6_B3_optimizer_seed44,bigru_content_gate_time_pool,44,13,7,53.352,232018432,133316,133316
s6_B2_baseline_seed43,three_modality_masked_mean_concat_mlp,43,18,12,33.117,153068544,15492,15492
s6_B2_baseline_seed44,three_modality_masked_mean_concat_mlp,44,13,7,23.023,153068544,15492,15492
s5_B3_EMA_seed42,bigru_content_gate_time_pool,42,15,9,61.933,267993600,133316,133316
