candidate,view,seed,samples,groups,feature_dim,accuracy,macro_f1,mae,pearson,selected_hyperparameters
A_current_audited,text,20260924,100,37,258,0.57,0.4760765265426146,0.523290130103158,0.4379532045070181,"[{""fold"":0,""C"":0.01,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":100.0},{""fold"":2,""C"":10.0,""alpha"":100.0},{""fold"":3,""C"":1.0,""alpha"":100.0},{""fold"":4,""C"":0.1,""alpha"":100.0}]"
A_current_audited,text,20260925,100,37,258,0.47,0.4392067261922657,0.56700652820698,0.356599373488372,"[{""fold"":0,""C"":0.01,""alpha"":100.0},{""fold"":1,""C"":0.01,""alpha"":100.0},{""fold"":2,""C"":0.01,""alpha"":100.0},{""fold"":3,""C"":1.0,""alpha"":100.0},{""fold"":4,""C"":0.01,""alpha"":100.0}]"
A_current_audited,text,20260926,100,37,258,0.49,0.4259232711754133,0.5708589279358017,0.336804869813594,"[{""fold"":0,""C"":1.0,""alpha"":100.0},{""fold"":1,""C"":1.0,""alpha"":100.0},{""fold"":2,""C"":0.01,""alpha"":100.0},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":0.01,""alpha"":100.0}]"
A_current_audited,text,20260927,100,37,258,0.51,0.38489736070381236,0.5747904311675781,0.27879493538605943,"[{""fold"":0,""C"":0.01,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":100.0},{""fold"":2,""C"":0.01,""alpha"":100.0},{""fold"":3,""C"":0.01,""alpha"":100.0},{""fold"":4,""C"":0.1,""alpha"":100.0}]"
A_current_audited,text,20260928,100,37,258,0.49,0.4124509124509124,0.5496830885193138,0.35087844171240334,"[{""fold"":0,""C"":0.1,""alpha"":100.0},{""fold"":1,""C"":0.01,""alpha"":100.0},{""fold"":2,""C"":10.0,""alpha"":100.0},{""fold"":3,""C"":0.01,""alpha"":100.0},{""fold"":4,""C"":0.01,""alpha"":100.0}]"
A_current_audited,audio,20260924,100,37,34,0.56,0.4818527800983941,0.6339170488359632,0.10812126169263057,"[{""fold"":0,""C"":0.1,""alpha"":100.0},{""fold"":1,""C"":0.1,""alpha"":100.0},{""fold"":2,""C"":0.1,""alpha"":100.0},{""fold"":3,""C"":1.0,""alpha"":100.0},{""fold"":4,""C"":10.0,""alpha"":100.0}]"
A_current_audited,audio,20260925,100,37,34,0.53,0.45813669587254496,0.5799147574231919,0.14792366574541704,"[{""fold"":0,""C"":1.0,""alpha"":100.0},{""fold"":1,""C"":1.0,""alpha"":100.0},{""fold"":2,""C"":1.0,""alpha"":100.0},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":10.0,""alpha"":100.0}]"
A_current_audited,audio,20260926,100,37,34,0.5,0.43344068706387545,0.584078713038066,0.15451436916322947,"[{""fold"":0,""C"":0.01,""alpha"":100.0},{""fold"":1,""C"":0.01,""alpha"":100.0},{""fold"":2,""C"":10.0,""alpha"":100.0},{""fold"":3,""C"":0.1,""alpha"":100.0},{""fold"":4,""C"":1.0,""alpha"":100.0}]"
A_current_audited,audio,20260927,100,37,34,0.54,0.48794764358866266,0.6139444531291111,0.13926329629611306,"[{""fold"":0,""C"":10.0,""alpha"":100.0},{""fold"":1,""C"":0.1,""alpha"":100.0},{""fold"":2,""C"":0.1,""alpha"":100.0},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":1.0,""alpha"":100.0}]"
A_current_audited,audio,20260928,100,37,34,0.53,0.4725596041385515,0.6581695503165906,0.0958050059606248,"[{""fold"":0,""C"":0.01,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":100.0},{""fold"":2,""C"":1.0,""alpha"":100.0},{""fold"":3,""C"":1.0,""alpha"":100.0},{""fold"":4,""C"":0.01,""alpha"":100.0}]"
A_current_audited,vision,20260924,100,37,14,0.55,0.5010865152709124,0.5816555589464764,0.1769759186821163,"[{""fold"":0,""C"":1.0,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":10.0},{""fold"":2,""C"":10.0,""alpha"":100.0},{""fold"":3,""C"":0.01,""alpha"":100.0},{""fold"":4,""C"":0.01,""alpha"":100.0}]"
A_current_audited,vision,20260925,100,37,14,0.4,0.37400644468313643,0.5979105954604514,0.073321784434795,"[{""fold"":0,""C"":0.1,""alpha"":100.0},{""fold"":1,""C"":0.1,""alpha"":10.0},{""fold"":2,""C"":0.1,""alpha"":100.0},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":0.01,""alpha"":100.0}]"
A_current_audited,vision,20260926,100,37,14,0.41,0.3635531135531136,0.5887764078101113,0.04667251401392824,"[{""fold"":0,""C"":10.0,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":100.0},{""fold"":2,""C"":0.01,""alpha"":100.0},{""fold"":3,""C"":0.1,""alpha"":100.0},{""fold"":4,""C"":0.1,""alpha"":100.0}]"
