family,metric,candidate,reference,n_pairs,candidate_mean,reference_mean,mean_difference,median_difference,ci95_low,ci95_high,wins,ties,losses,cohen_dz,paired_t_p,holm_p,wilcoxon_p
alignment,probe_repeat_macro_f1,uniform,full_dp_20,10,0.4458374349647801,0.4465180916346636,-0.0006806566698835448,0.0002511292607605131,-0.015709719786211093,0.014348406446444003,5,0,5,-0.03239805739316103,0.9206445886191774,1.0,0.921875
alignment,probe_repeat_pearson,uniform,full_dp_20,10,0.31205027741089,0.3062824443684578,0.005767833042432108,0.005078810550104507,-0.00014532346979504764,0.011680989554659264,8,0,2,0.6977760847289818,0.0547514752318828,0.1095029504637656,0.048828125
alignment,probe_repeat_macro_f1,length_weighted,full_dp_20,10,0.4541712511172495,0.4465180916346636,0.007653159482585858,0.007898059981900518,-0.009611451779179986,0.024917770744351704,5,1,4,0.31710766060642726,0.3421630705267198,1.0,0.42578125
alignment,probe_repeat_pearson,length_weighted,full_dp_20,10,0.3093516286261645,0.3062824443684578,0.003069184257706639,-4.6809976526673847e-05,-0.002508794667886091,0.008647163183299368,5,0,5,0.3936124864917512,0.24467325226988149,0.24467325226988149,0.4921875
alignment,probe_repeat_macro_f1,energy_dp_20,full_dp_20,10,0.44451694224881083,0.4465180916346636,-0.0020011493858527575,-0.005188199668406834,-0.016765937027986504,0.012763638256280987,5,0,5,-0.09695608685891102,0.7661210573179198,1.0,0.921875
alignment,probe_repeat_pearson,energy_dp_20,full_dp_20,10,0.29719905612385805,0.3062824443684578,-0.009083388244599807,-0.008618259364780445,-0.01353742101009341,-0.004629355479106204,0,0,10,-1.4588721845263914,0.0012662406051827495,0.005064962420730998,0.001953125
alignment,probe_repeat_macro_f1,full_dp_10,full_dp_20,10,0.442210953205341,0.4465180916346636,-0.004307138429322605,8.39946530111213e-05,-0.017776033648165438,0.009161756789520227,5,0,5,-0.22875975871823664,0.48780715902028204,1.0,0.76953125
alignment,probe_repeat_pearson,full_dp_10,full_dp_20,10,0.31991053294438015,0.3062824443684578,0.01362808857592234,0.0131062075600413,0.009767357429047257,0.017488819722797422,10,0,0,2.525155704275795,2.2463669345405736e-05,0.00011231834672702868,0.001953125
alignment,probe_repeat_macro_f1,full_dp_40,full_dp_20,10,0.45115712784402434,0.4465180916346636,0.004639036209360714,0.006502881130748567,-0.007495924370002181,0.016773996788723607,6,0,4,0.2734715591198391,0.4096101417046283,1.0,0.431640625
alignment,probe_repeat_pearson,full_dp_40,full_dp_20,10,0.3116095989251403,0.3062824443684578,0.005327154556682492,0.0064760584423712575,0.0008212429114312124,0.009833066201933773,8,0,2,0.84573713410609,0.02543607626449003,0.07630822879347009,0.02734375
smoothing,probe_repeat_macro_f1,sigma_0p0,sigma_0p75,10,0.4462781892945024,0.4465180916346636,-0.00023990234016122436,0.0009865581452707106,-0.009317026739172776,0.008837222058850328,5,2,3,-0.018906405625088024,0.9536315696559551,0.9536315696559551,0.640625
smoothing,probe_repeat_pearson,sigma_0p0,sigma_0p75,10,0.3072758499015898,0.3062824443684578,0.000993405533131983,0.00040822257452714783,-0.0005844986261797087,0.0025713096924436744,6,0,4,0.4503692473204365,0.18812579991805486,0.18812579991805486,0.375
smoothing,probe_repeat_macro_f1,sigma_0p5,sigma_0p75,10,0.4424976454378397,0.4465180916346636,-0.004020446196823946,0.0,-0.012585159212156884,0.004544266818508992,2,4,4,-0.33580272297550706,0.31594317977157416,0.9478295393147225,0.3125
smoothing,probe_repeat_pearson,sigma_0p5,sigma_0p75,10,0.3070001960842236,0.3062824443684578,0.0007177517157656521,0.00042598150217043607,-0.00012455316104280313,0.0015600565925741074,6,0,4,0.6095757733273821,0.08599614723662508,0.17199229447325015,0.16015625
smoothing,probe_repeat_macro_f1,sigma_1p0,sigma_0p75,10,0.4491820084088934,0.4465180916346636,0.0026639167742297577,0.0,-0.003985489320935927,0.009313322869395442,4,5,1,0.2865896945005214,0.38840877082108727,0.9478295393147225,0.4375
smoothing,probe_repeat_pearson,sigma_1p0,sigma_0p75,10,0.3054457405856583,0.3062824443684578,-0.0008367037827995277,-0.0007224825026897058,-0.001379163358422099,-0.0002942442071769566,2,0,8,-1.1033851298601827,0.0068386486956997245,0.020515946087099175,0.009765625
text,probe_repeat_macro_f1,hash,bert,10,0.3929276365265497,0.4556725299627128,-0.06274489343616305,-0.06660162536116596,-0.08475865915888127,-0.04073112771344482,0,0,10,-2.0389511454071823,0.00011845565502812605,0.00011845565502812605,0.001953125
text,probe_repeat_pearson,hash,bert,10,0.09887432131038294,0.34863411730930255,-0.24975979599891965,-0.246329816766727,-0.29610329297583565,-0.20341629902200364,0,0,10,-3.8552851329942053,6.72775000612008e-07,6.72775000612008e-07,0.001953125
audio_features,probe_repeat_macro_f1,mfcc_delta_23,full_40,10,0.3620798096823775,0.376114563114135,-0.014034753431757563,-0.013435378894653904,-0.05226457042395947,0.02419506356044434,5,0,5,-0.26261851562876304,0.4277515235527959,1.0,0.431640625
audio_features,probe_repeat_pearson,mfcc_delta_23,full_40,10,0.06148626758774939,0.1242617993828814,-0.062775531795132,-0.06429304326240849,-0.09397379405447534,-0.031577269535788655,1,0,9,-1.439404214998848,0.001382384339135797,0.004147153017407391,0.00390625
audio_features,probe_repeat_macro_f1,spectral_mel_31,full_40,10,0.36771788633483293,0.376114563114135,-0.008396676779302037,-0.019020775231801623,-0.03820361597735091,0.021410262418746835,4,0,6,-0.20151752856995228,0.5398293238055227,1.0,0.556640625
audio_features,probe_repeat_pearson,spectral_mel_31,full_40,10,0.11052804288813385,0.1242617993828814,-0.013733756494747567,-0.014597627923902283,-0.03684033665128293,0.009372823661787799,2,0,8,-0.4251835402350165,0.2116746843629708,0.4233493687259416,0.10546875
audio_features,probe_repeat_macro_f1,core_prosody_9,full_40,10,0.3825646451537628,0.376114563114135,0.0064500820396277804,0.0066697867236556185,-0.03977460137948629,0.052674765458741855,7,0,3,0.09981919593485283,0.7594605658873639,1.0,0.625
audio_features,probe_repeat_pearson,core_prosody_9,full_40,10,0.03378795979005973,0.1242617993828814,-0.09047383959282165,-0.09610653307293524,-0.13147517741969095,-0.049472501765952345,1,0,9,-1.5785115655809834,0.0007473989084868167,0.002989595633947267,0.00390625
audio_features,probe_repeat_macro_f1,energy_voiced_f0_3,full_40,10,0.36408675504734933,0.376114563114135,-0.012027808066785661,0.008187229939602109,-0.05923060215998576,0.03517498602641444,6,0,4,-0.1822810647074996,0.5784578085260353,1.0,0.76953125
audio_features,probe_repeat_pearson,energy_voiced_f0_3,full_40,10,0.1302866544183044,0.1242617993828814,0.006024855035423014,-0.0031628974364637102,-0.033003186169266445,0.045052896240112474,5,0,5,0.11043141095819625,0.7349594401809424,0.7349594401809424,1.0
vision_features,probe_repeat_macro_f1,no_hog_54,full_90,10,0.31490929519427685,0.3116471456118677,0.0032621495824091767,-0.005557463858179193,-0.026247761060413106,0.03277206022523146,5,0,5,0.0790785597553474,0.8081491201963611,0.8081491201963611,0.845703125
vision_features,probe_repeat_pearson,no_hog_54,full_90,10,-0.09799833915444575,-0.15279008833822197,0.05479174918377618,0.05932830376165349,0.02479629017600827,0.08478720819154409,9,0,1,1.306719665788238,0.002551069878375085,0.00510213975675017,0.005859375
vision_features,probe_repeat_macro_f1,compact_38,full_90,10,0.3426117010589104,0.3116471456118677,0.03096455544704276,0.02859403829426424,0.009272729400410362,0.05265638149367516,9,0,1,1.0211546290423876,0.010336309586393701,0.020672619172787402,0.013671875
vision_features,probe_repeat_pearson,compact_38,full_90,10,-0.18561970636439207,-0.15279008833822197,-0.03282961802617014,-0.018129338097776504,-0.07632514816251257,0.010665912110172295,3,0,7,-0.5399381017397336,0.12192162659269443,0.12192162659269443,0.232421875
vision_fps,probe_repeat_macro_f1,fps_2p5,fps_5p0,10,0.30885220942432673,0.3116471456118677,-0.0027949361875409307,-0.011982550106119871,-0.030899541584563227,0.025309669209481363,4,0,6,-0.07114054352693253,0.8270304348513894,0.8270304348513894,0.921875
vision_fps,probe_repeat_pearson,fps_2p5,fps_5p0,10,-0.17495957399518053,-0.15279008833822197,-0.02216948565695859,-0.036170438492012964,-0.07207574240181824,0.027736771087901065,2,0,8,-0.31777768362778014,0.3411958354952169,0.3504487691562393,0.431640625
vision_fps,probe_repeat_macro_f1,fps_10p0,fps_5p0,10,0.32521117216228546,0.3116471456118677,0.013564026550417782,0.004972097408133577,-0.009320903455877971,0.036448956556713534,8,0,2,0.423996056058777,0.21284436357610328,0.42568872715220657,0.193359375
vision_fps,probe_repeat_pearson,fps_10p0,fps_5p0,10,-0.1664149092294888,-0.15279008833822197,-0.013624820891266837,-0.010144569397901631,-0.03456975433362364,0.0073201125510899585,4,0,6,-0.46534450654836845,0.17522438457811965,0.3504487691562393,0.275390625
